2 0
2 1
2 2
2 3
2 4
1 4
0 4
0 4
0 4
0 4
0 4
0 4
0 4
0 4
0 4
0 5
0 6
0 7
0 8
1 8
2 8
2 0
2 1
2 2
2 3
2 4
1 4
0 4
0 4
0 5
0 6
0 7
0 8
0 9
1 9
2 0
2 1
2 2
2 3
2 4
1 4
0 4
0 4
0 4
0 4
0 5
0 6
0 7
0 8
1 8
2 8
2 0
2 1
2 2
2 3
2 3
2 4
1 4
0 4
0 4
0 4
0 5
0 6
0 7
0 8
1 8
2 8
2 0
2 1
2 2
2 3
2 4
1 4
0 4
0 5
0 6
0 7
0 8
1 8
1 9
2 0
2 1
2 2
2 3
2 4
1 4
1 5
1 6
1 6
1 6
1 6
1 6
1 6
0 6
0 7
0 8
1 8
1 9
2 0
2 1
2 2
2 3
2 4
1 4
0 4
0 4
0 5
0 6
0 7
0 8
1 8
2 8
2 0
2 1
2 2
2 3
2 3
2 4
2 5
2 6
2 6
1 6
1 6
0 6
0 7
0 8
1 8
2 8
2 0
2 1
2 2
2 3
2 3
2 4
1 4
0 4
0 5
0 5
0 5
0 6
0 7
0 8
1 8
2 8
1 8
1 9
2 0
2 1
2 2
2 3
2 4
1 4
0 4
0 4
0 4
0 5
0 6
0 7
0 8
1 8
2 8
2 0
2 1
2 2
2 3
2 4
1 4
1 5
1 6
0 6
0 7
0 8
1 8
2 8
2 0
2 1
2 2
2 3
2 4
1 4
1 5
0 5
0 6
0 7
0 8
0 9
1 9
2 0
2 1
2 2
2 3
2 4
1 4
1 5
0 5
0 6
0 7
0 8
1 8
2 8
2 0
2 1
2 2
2 3
2 4
1 4
0 4
0 4
0 4
0 4
0 4
0 4
0 4
0 5
0 6
0 7
0 7
0 8
1 8
2 8
2 0
2 1
2 2
2 3
2 4
1 4
0 4
0 4
0 4
0 4
0 5
0 6
0 6
0 7
0 8
1 8
2 8
2 0
2 1
2 2
2 3
2 4
1 4
0 4
0 5
0 6
0 7
0 8
1 8
2 8
2 0
2 1
2 2
2 3
2 4
1 4
1 5
1 6
1 6
1 6
0 6
0 7
0 8
0 9
1 9
2 0
2 1
2 2
2 3
2 3
2 4
1 4
1 5
0 5
0 6
0 7
0 8
1 8
2 8
2 0
2 1
2 2
2 3
2 4
1 4
0 4
0 5
0 6
0 7
0 7
0 8
1 8
1 9
2 0
2 1
2 2
2 3
2 4
2 5
1 5
0 5
0 6
0 7
0 7
0 8
1 8
2 8
